X_Value Y_Value Z_Value a b c
26.1084 -11.24289 9.75 0 0 0 
-15.45974 -1.817944 1.65 0 0 0 
46.8429 2.465879 7.95 0 0 0 
-21.82031 -2.0256 3.75 0 0 0 
-34.99246 3.572123 13.05 0 0 0 
-35.91376 1.886534 6.75 0 0 0 
-51.95326 8.197176 13.35 0 0 0 
22.31974 -12.21557 9.15 0 0 0 
-57.54882 10.56143 12.45 0 0 0 
32.71231 -10.6877 0.45 0 0 0 
18.56678 -6.480129 0.15 0 0 0 
-13.7042 0.3193779 4.05 0 0 0 
-60.06648 26.56742 3.75 0 0 0 
-56.27926 17.18248 8.55 0 0 0 
42.98431 -1.565399 9.15 0 0 0 
-48.63418 6.650024 10.05 0 0 0 
-56.01808 20.88407 7.05 0 0 0 
38.031 -4.571201 13.65 0 0 0 
-45.17593 6.041294 7.35 0 0 0 
-56.83518 18.6076 9.75 0 0 0 
-28.0767 -2.824142 1.95 0 0 0 
-48.64987 18.83237 14.55 0 0 0 
-25.55687 -3.293709 1.95 0 0 0 
-52.31792 10.26527 13.95 0 0 0 
-28.18089 -2.233253 7.05 0 0 0 
3.8482 0.977314 4.65 0 0 0 
-45.69761 3.816914 10.05 0 0 0 
-29.79653 1.746653 13.05 0 0 0 
-0.009680271 2.124832 1.35 0 0 0 
16.35953 -7.783207 9.45 0 0 0 
